5203203;"Barro Alto";"Ceres";"GO";"Centro-Oeste";1093.25000;11408.00000;3432.80154;919264.57900;0.74200;3892.42364;13361917.87684;9175.00000;0.68200;0.85400
5203302;"Bela Vista de Goiás";"Goiânia";"GO";"Centro-Oeste";1255.42000;30492.00000;10517.28976;971073.46200;0.71600;3498.93023;36799263.04231;17354.00000;0.60700;0.83700
5203401;"Bom Jardim de Goiás";"Aragarças";"GO";"Centro-Oeste";1899.48000;8869.00000;3106.55031;168111.63200;0.67000;2775.02066;8620741.29906;3830.00000;0.54500;0.81100
5203500;"Bom Jesus de Goiás";"Meia Ponte";"GO";"Centro-Oeste";1405.12000;25648.00000;8451.82568;747000.87100;0.70100;3322.21689;28078798.06290;11294.00000;0.57300;0.86000
5203559;"Bonfinópolis";"Goiânia";"GO";"Centro-Oeste";122.29000;9919.00000;3244.75458;87077.48800;0.68300;3168.92651;10282388.81145;3361.00000;0.58000;0.81700
5203575;"Bonópolis";"Porangatu";"GO";"Centro-Oeste";1628.48000;4493.00000;1367.53456;95593.45800;0.63000;2466.98813;3373691.52435;2047.00000;0.48800;0.81300
5203609;"Brazabrantes";"Anápolis";"GO";"Centro-Oeste";123.07000;3746.00000;1308.32251;108910.41000;0.70100;3294.95571;4310864.73039;1565.00000;0.61500;0.82600
5203807;"Britânia";"Rio Vermelho";"GO";"Centro-Oeste";1461.19000;5797.00000;2028.72709;113053.15700;0.67200;2855.53395;5793099.06555;2860.00000;0.54600;0.80200
5203906;"Buriti Alegre";"Meia Ponte";"GO";"Centro-Oeste";895.46000;9484.00000;3444.51751;311200.88700;0.71000;3375.05195;11625425.53373;6886.00000;0.61400;0.83100
5203939;"Buriti de Goiás";"Anicuns";"GO";"Centro-Oeste";199.29000;2476.00000;947.47422;38073.30500;0.68700;3092.62214;2930179.73528;1593.00000;0.57000;0.80600
5203962;"Buritinópolis";"Vão do Paranã";"GO";"Centro-Oeste";247.05000;3283.00000;992.12915;75451.99800;0.70400;2486.76255;2467189.62095;1317.00000;0.59100;0.81300
5204003;"Cabeceiras";"Entorno de Brasília";"GO";"Centro-Oeste";1127.60000;8046.00000;2634.40984;219065.62100;0.66800;2603.46150;6858584.60160;3755.00000;0.57100;0.81900
5204102;"Cachoeira Alta";"Quirinópolis";"GO";"Centro-Oeste";1654.56000;12666.00000;4258.54568;236330.93300;0.71000;4044.74406;17224727.34290;6398.00000;0.56900;0.84000
5204201;"Cachoeira de Goiás";"Iporá";"GO";"Centro-Oeste";422.75000;1342.00000;488.09094;27358.68600;0.72700;2896.08924;1413554.92237;748.00000;0.67400;0.83800
5204250;"Cachoeira Dourada";"Meia Ponte";"GO";"Centro-Oeste";521.13000;8031.00000;2782.30880;893422.77400;0.69800;3463.21008;9635719.87547;6299.00000;0.60200;0.80400
5204300;"Caçu";"Quirinópolis";"GO";"Centro-Oeste";2251.01000;16270.00000;5506.28907;908793.03200;0.73000;4426.56380;24373939.84801;10403.00000;0.59900;0.84000
5204409;"Caiapônia";"Sudoeste de Goiás";"GO";"Centro-Oeste";8637.87000;19107.00000;6751.95833;672373.66000;0.69300;3018.23150;20378973.30924;8665.00000;0.58800;0.80800
5204508;"Caldas Novas";"Meia Ponte";"GO";"Centro-Oeste";1595.97000;93196.00000;31751.02533;2554677.19100;0.73300;4024.50338;127782108.72899;65988.00000;0.64000;0.83200
5204557;"Caldazinha";"Goiânia";"GO";"Centro-Oeste";250.89000;3848.00000;1329.29651;50661.71400;0.68500;2998.78762;3986277.93017;1215.00000;0.59100;0.81400
5204607;"Campestre de Goiás";"Vale do Rio dos Bois";"GO";"Centro-Oeste";273.82000;3649.00000;1200.38636;57885.72300;0.65300;2447.20735;2937594.32523;1578.00000;0.55600;0.79900
5204656;"Campinaçu";"Porangatu";"GO";"Centro-Oeste";1974.37000;3632.00000;1251.98095;61699.73800;0.63100;2284.72719;2860434.90758;1611.00000;0.47600;0.81900
5204706;"Campinorte";"Porangatu";"GO";"Centro-Oeste";1067.20000;12764.00000;4101.14180;226398.39600;0.68800;3257.52719;13359580.94195;4993.00000;0.56500;0.84100
5204805;"Campo Alegre de Goiás";"Catalão";"GO";"Centro-Oeste";2462.99000;7738.00000;2565.68607;412523.72800;0.69400;3625.01550;9300651.79077;4464.00000;0.58600;0.81100
5204854;"Campo Limpo de Goiás";"Anápolis";"GO";"Centro-Oeste";159.56000;7940.00000;2535.07504;101425.90400;0.66100;3091.17607;7836363.29559;3732.00000;0.53300;0.82900
5204904;"Campos Belos";"Chapada dos Veadeiros";"GO";"Centro-Oeste";724.07000;20007.00000;6072.39319;268750.03000;0.69200;2947.60076;17898990.75323;8649.00000;0.61600;0.81500
5204953;"Campos Verdes";"Porangatu";"GO";"Centro-Oeste";441.65000;1830.00000;633.21726;44744.44800;0.65400;2097.56753;1328215.95885;1273.00000;0.57700;0.79600
5205000;"Carmo do Rio Verde";"Ceres";"GO";"Centro-Oeste";418.54000;10186.00000;3579.10180;249647.76700;0.71300;2914.27309;10430480.07374;4735.00000;0.64900;0.82400
5205059;"Castelândia";"Sudoeste de Goiás";"GO";"Centro-Oeste";297.43000;3407.00000;1175.34726;101370.21100;0.70100;2858.09474;3359253.81640;1576.00000;0.57800;0.82300
5205109;"Catalão";"Catalão";"GO";"Centro-Oeste";3821.46000;110983.00000;37311.31751;6108291.66900;0.76600;4717.43830;176013838.39803;72805.00000;0.71500;0.81900
5205208;"Caturaí";"Anápolis";"GO";"Centro-Oeste";207.26000;5101.00000;1718.23713;68277.88800;0.66400;3104.23392;5333809.98631;2134.00000;0.54000;0.81500
5205307;"Cavalcante";"Chapada dos Veadeiros";"GO";"Centro-Oeste";6953.65000;9725.00000;2897.21972;253197.74900;0.58400;2108.06730;6107534.13507;3752.00000;0.41500;0.80800
5205406;"Ceres";"Ceres";"GO";"Centro-Oeste";214.32000;22306.00000;7679.09884;549501.40800;0.77500;4051.61603;31112759.97573;16343.00000;0.73300;0.84200
5205455;"Cezarina";"Vale do Rio dos Bois";"GO";"Centro-Oeste";415.81000;8703.00000;2871.25200;287096.21200;0.71100;3308.01962;9498157.97639;4938.00000;0.65200;0.80700
5205471;"Chapadão do Céu";"Sudoeste de Goiás";"GO";"Centro-Oeste";2185.13000;10486.00000;3275.15748;1106080.14000;0.74200;4895.50409;16033546.82908;10431.00000;0.65200;0.83700
5205497;"Cidade Ocidental";"Entorno de Brasília";"GO";"Centro-Oeste";389.92000;72890.00000;21571.91494;795632.75300;0.71700;3743.37935;80751860.85463;20875.00000;0.64100;0.81400
5205513;"Cocalzinho de Goiás";"Entorno de Brasília";"GO";"Centro-Oeste";1789.04000;20504.00000;6478.60047;326069.95500;0.65700;2732.50208;17702789.23550;7365.00000;0.53100;0.82600
5205521;"Colinas do Sul";"Chapada dos Veadeiros";"GO";"Centro-Oeste";1708.19000;3360.00000;1080.55678;45304.20700;0.65800;2515.92313;2718597.79700;1275.00000;0.54900;0.82000
5205703;"Córrego do Ouro";"Iporá";"GO";"Centro-Oeste";462.30000;2290.00000;864.12721;45768.39000;0.68600;3188.17607;2754989.67418;1242.00000;0.57800;0.80300
5205802;"Corumbá de Goiás";"Entorno de Brasília";"GO";"Centro-Oeste";1061.95000;11169.00000;3598.76699;174495.54900;0.68000;2809.53199;10110850.99320;4763.00000;0.57100;0.82900
5205901;"Corumbaíba";"Catalão";"GO";"Centro-Oeste";1883.67000;9869.00000;3369.04072;588941.81700;0.69800;3357.62179;11311964.53575;7369.00000;0.58200;0.83100
5206206;"Cristalina";"Entorno de Brasília";"GO";"Centro-Oeste";6162.06000;60210.00000;18021.74094;2327741.20200;0.69900;3559.77513;64153345.12122;34620.00000;0.58700;0.81400
5206305;"Cristianópolis";"Pires do Rio";"GO";"Centro-Oeste";225.36000;2964.00000;1098.93773;73396.83900;0.68800;2964.64423;3257959.40779;1695.00000;0.55400;0.83800
5206404;"Crixás";"São Miguel do Araguaia";"GO";"Centro-Oeste";4661.16000;17044.00000;5695.42046;521765.50600;0.70800;3161.74814;18007485.03429;11587.00000;0.62500;0.80500
5206503;"Cromínia";"Meia Ponte";"GO";"Centro-Oeste";364.11000;3472.00000;1280.75636;70266.14800;0.70600;2805.51843;3593185.58069;2034.00000;0.63400;0.80300
5206602;"Cumari";"Catalão";"GO";"Centro-Oeste";570.54000;2837.00000;1033.50509;60561.49500;0.73700;3413.97685;3528362.44825;1361.00000;0.65700;0.81900
5206701;"Damianópolis";"Vão do Paranã";"GO";"Centro-Oeste";415.35000;3306.00000;1093.79178;33750.68900;0.65400;2041.52747;2233005.95302;1173.00000;0.55800;0.81500
5206800;"Damolândia";"Anápolis";"GO";"Centro-Oeste";84.50000;2953.00000;1073.26720;39743.35700;0.69700;2892.80541;3104753.17231;1260.00000;0.60000;0.81900
5206909;"Davinópolis";"Catalão";"GO";"Centro-Oeste";481.30000;2094.00000;812.84200;388543.92500;0.71600;3382.55676;2749484.19916;1305.00000;0.60600;0.86200
